obj,super_obj
honorary doctor of the University of Calcutta,honorary doctorate
Oasis,soft drink
karate,martial art
martial art,art
martial art,tradition
karate,Olympic sport
Messiah,believer
believer,person
Messiah,religious character
religious character,legendary figure
Messiah,fictional religious occupation
fictional religious occupation,fictional entity
music,entertainment
music,time-based art
time-based art,visual arts
Hinduism,state religion
state religion,religion
state religion,relation
Hinduism,folk religion
folk religion,religion
folk religion,folk culture
Hinduism,Indian religions
radio DJ,disc jockey
radio DJ,radio personality
dark metal,extreme metal
Bronze,domesticated turkey
domesticated turkey,poultry
domesticated turkey,productive animal
cyberpunk,science fiction
science fiction,speculative/fantastic fiction
cyberpunk,dystopian fiction
dystopian fiction,science fiction
new wave of British heavy metal,heavy metal
new wave of British heavy metal,British metal music
British metal music,music of the United Kingdom
British metal music,metal
slam death metal,brutal death metal
brutal death metal,death metal
hard trance,trance
hard trance,hard dance
programming,process
process,series
process,temporal entity
process,occurrent
digital audio workstation,digital audio editor
digital audio editor,editor
digital audio editor,audio software
digital audio editor,multimedia & design software
digital audio workstation,music workstation
music workstation,electronic musical instrument
Cambridge,sheep
complextro,electro house
bass guitarist,bassist
bass guitarist,guitarist
Surrey,carriage
talent manager,impresario
impresario,theatre manager
impresario,business executive
impresario,artistic director (music)
impresario,producer
talent manager,manager
programming,computer programming
computer programming,skill
computer programming,activity
programming,music production
music production,manufacturing
music production,music industry
Grand Cross of the Order of the Sun of Peru,grand cross
horticulturist,scientist
horticulturist,farmer
farmer,agricultural worker
farmer,field crop and vegetable growers
horticulturist,agronomist
agronomist,scientist
agronomist,engineer
agronomist,crop production worker
Billboard Latin Music Lifetime Achievement Award,lifetime achievement award
tech house,house music
deism,religion
religion,ideology
religion,world view
religion,tradition
religion,belief system
religion,religion or world view
honorary doctor of the Yale University,honorary doctorate
swamp rock,roots rock
Constellation,airliner
airliner,commercial vehicle
airliner,civil aircraft
airliner,transport aircraft
Ram,cruiser tank
cruiser tank,tank
Ram,Sepik
Sepik,Papuan languages
double bass,necked box lutes played with a bow
jazz rock,rock music
Marcodi,musical instrument
Slovene,Western South Slavic
Western South Slavic,South Slavic
dansband singer,singer
dansband singer,dansband musician
dansband musician,musician
disco singer,singer
disco singer,disco musician
disco musician,musician
dansband music,pop music
dansband music,music of the Nordic countries
music of the Nordic countries,music of Northern Europe
dub actor,voice actor
atheist,person
Eurodisco,disco
Grammy Award for Best Latin Urban Album,award for best album (genre)
songwriting,music composing
music composing,music
music composing,intentional human activity
music composing,composing
real estate developer,coordinator
coordinator,leader
coordinator,referent
Favorite Latin Artist,award for best artist
merengue,dance
merengue,popular music
merengue,tropical music
merengue,music of the Dominican Republic
music of the Dominican Republic,music of Latin America
music of the Dominican Republic,music of the Greater Antilles
Polar,cataclysmic variable star
cataclysmic variable star,variable star
cataclysmic variable star,contact binary
bard song,music of the Soviet Union
music of the Soviet Union,music of Asia
music of the Soviet Union,music of Eastern Europe
bard song,music of Ukraine
music of Ukraine,music of Eastern Europe
bard song,music of Russia
music of Russia,music of Asia
music of Russia,music of Eastern Europe
bard song,singer-songwriter music
singer-songwriter music,acoustic music
singer-songwriter music,popular music
singer-songwriter music,vocal music
bard song,Russian song
Russian song,song
Russian song,Russian music
Latin trap,reggaeton
Latin trap,trap music
Latin trap,Latin hip hop
Latin hip hop,hip hop music
Latin hip hop,urbano music
Latin hip hop,Latin music
hip house,rapping
hip house,hip hop music
hip house,house music
Latin Grammy Award for Best Pop Vocal Album,award for best album (genre)
Latin Grammy Award for Best Urban Music Album,award for best album (genre)
Latina,shikhara
shikhara,spire
country singer,singer
country singer,country musician
country musician,musician
schlager singer,pop singer
schlager singer,schlager musician
schlager musician,musician
schlager music,pop music
schlager music,music of Europe
MTV Europe Music Award for Best Push Act,award for best performance
ballade,dance
Carolina,dessert
dessert,food
dessert,dish
dessert,sweet dish
dessert,course
contemporary Christian music,popular music
contemporary Christian music,Christian music
folk punk,punk music
tango music,dance music
tango music,music of Latin America
tango music,Latin music
copla,copla
copla,metre
copla,Spanish folk music
Spanish folk music,music of Spain
Spanish folk music,European folk music
Grammy Award for Best Rock Performance,award for best performance
bolero,music of Latin America
bolero,tropical music
Billboard Latin Music Hall of Fame,music award
metre,structure
Christian hip hop,hip hop music
Christian hip hop,Christian music
Elizabeth,domestic duck
domestic duck,duck
jota,traditional folk music
jota,dance music
jota,folk dance of Catalonia
folk dance of Catalonia,Catalan folk dance
Jersey Shore,coast
coast,shore
bolero,music of Spain
music of Spain,Spanish art
music of Spain,Latin music
music of Spain,music of the Iberian Peninsula
bolero,Spanish dance
Spanish dance,European dance
Latin Grammy Award for Best Portuguese Language Rock or Alternative Album,award for best album (genre)
ballade,classical music
ballade,Romantic music
ballade,piano piece
no wave,post-punk
no wave,experimental rock
bolero,jacket
jacket,outerwear
ballade,forme fixe
forme fixe,poetic form
ballade,French poetry
French poetry,poetry
garage house,house music
crossover thrash,hardcore punk
crossover thrash,thrash metal
Golden Raspberry Award for Worst Actress of the Decade,award for worst (...)
Moldovan,Romanian
flamenco,folk dance
folk dance,social dance
flamenco,music of Spain
flamenco,Latin music
drug trafficker,smuggler
smuggler,criminal
Long Beach,sailboat
Long Beach,windsurf
instrumental hip hop,hip hop music
instrumental hip hop,instrumental music
sports agent,commercial agent
commercial agent,broker
commercial agent,proxy
commercial agent,representative
commercial agent,commercial sales representatives
magician,fictional character
fictional character,fictional entity
fictional character,imaginary character
magician,performing artist
magician,illusionist
illusionist,artist
magician,creative and performing artist
hypnotist,psychologist
psychologist,social and religious professionals
musical group,musical ensemble
musical ensemble,group of humans
musical ensemble,music organization
musical ensemble,collective author
musical ensemble,performing arts group
acid rock,psychedelic rock
crunkcore,crunk
magician,occultist
street magic,magic
magic,performing arts
magic,circus skill
bossa nova,dance
Las Vegas Film Critics Society Award for Best Song,award for best song
street punk,hardcore punk
stunt performer,actor
stunt performer,performing artist
kazoo,voice changer
voice changer,toy
voice changer,physical tool
voice changer,converter
kazoo,singing membranes
singing membranes,membranophones
bossa nova,popular music
bossa nova,music of Brazil
philosopher,humanities scholar
Westerner hat,cowboy hat
cowboy hat,hat
investor,businessperson
Grammy Award for Best Bluegrass Album,award for best album (genre)
electric blues,blues
Monument,monument
monument,statue
monument,architectural structure
monument,work of art
Monument,bien de interés cultural
bien de interés cultural,heritage site
bien de interés cultural,cultural property
bien de interés cultural,patrimonio histórico español
bien de interés cultural,national heritage site
Monument,Cultural Asset of National Interest
Cultural Asset of National Interest,subnational heritage site
headband,headgear
headgear,clothing
headgear,costume accessory
underground hip hop,rapping
underground hip hop,hip hop music
underground hip hop,independent music
underground hip hop,underground music
underground music,music
Church of Sleep,Christianity
Laurence Olivier Award,theatre award
yoga,physical exercise
physical exercise,exertion
physical exercise,health enhancing physical activity
physical exercise,exercise
yoga,spiritual practice
spiritual practice,intentional human activity
spiritual practice,activity
spiritual practice,religious behaviour
yoga,mind-body therapy
mind-body therapy,complementary therapy
choro,music of Brazil
technician,national technical qualification
national technical qualification,certification
Melton,melton
melton,wool fabric
cellist,instrumentalist
electrophone,musical instrument
electrophone,electrical appliance
electronic instrument,appliance
supporting actor,actor
Fryderyk,art prize
Officer of the Order of Polonia Restituta,officer
Golden Medal for Merit to Culture,gold medal
Satellite Award for Best Original Score,award for best original music
award for best original music,film award category
award for best original music,award for best album
Valencia,Spanish wine
Spanish wine,wine
environmentalist,activist
Service,liturgy
liturgy,adoration
technician,professional
Flatwoods,ecosystem
ecosystem,biological system
ecosystem,ecological unit
Golden Raspberry Award for Worst Supporting Actor,award for worst (...)
country blues,blues
country blues,American folk music
dramatic baritone,baritone
clubjazz,jazz fusion
clubjazz,club/dance music
jazz house,house music
cumbia,Latin dance
cumbia,Latin music
sambista,musician
nu jazz,jazz
nu jazz,electronica
psychedelic folk,psychedelic music
psychedelic folk,contemporary folk music
percussion,physical examination
physical examination,medical diagnosis
physical examination,medical examination
physical examination,health assessment
Philadelphia soul,soul music
horn,horn instrument
horn instrument,wind instrument
horn,valve horns
valve horns,labrosones with valves
percussion,percussion instrument
lutenist,plucked instrument player
humanitarian,activist
boogie rock,blues rock
trip rock,rock music
broken beat,electronica
broken beat,electronic dance music
outsider music,music
horn,animal product
animal product,product
animal product,biological material
acid house,house music
acid house,rave music
rave music,electronic dance music
acid house,acid music
instrumentalist,health professional
health professional,health care provider
health professional,intellectual and scientific professionals
rautalanka,instrumental rock
rautalanka,surf rock
surf rock,surf music
National Book Award,award
National Book Award,prize
kora,harp lutes
harp lutes,composite chordophone
lyrics,text
text,written work
text,record
jazz trumpeter,trumpeter
jazz trumpeter,jazz musician
horn,horn
horn,cranial appendage
cumbia,tropical music
cumbia,indigenous American dance
indigenous American dance,dance
kora,sword
sword,piercing-cutting weapon
sword,edged and bladed weapon
cranial appendage,anatomical projection
smooth jazz,jazz
horn,musical instrument
lecturer,lector
lector,docent
lector,university teacher
voice type,voice
conga,music of Cuba
breakbeat,rhythm
rhythm,pace
rhythm,Q117898917
essayist,prose writer
prose writer,writer
conga,conga
conga,percussion instrument
conga,hand drum
humorist,intellectual
intellectual,philosopher
humorist,author
humorist,artist
lecturer,teacher
lecturer,university teacher
lecturer,faculty member
lecturer,title of authority
title of authority,title
Lohengrin,chocolate bar
chocolate bar,sweetmeat
chocolate bar,confection
chocolate bar,candy bar
chocolate bar,chocolate dish
vibraphone,mallet percussion instrument
choral symphony,symphony
choral symphony,choral music
choral music,vocal music
lecturer,Christian cleric
Christian cleric,cleric
hand drum,drum
Musikdrama,musical drama
Lodi,apple
lyric tenor,tenor
Kent,mango
theater director,director
theater director,theatre maker
Deuce,general aviation monoplane with 1 tractor-piston-propeller engine
general aviation monoplane with 1 tractor-piston-propeller engine,monoplane with 1 tractor-piston-propeller engine
general aviation monoplane with 1 tractor-piston-propeller engine,general aviation monoplane with 1 piston-propeller engine
humor,creative work
Diamond Play Button,YouTube Creator Awards
YouTube Creator Awards,award
graphic designer,visual artist
graphic designer,designer
lecturer,docent
docent,educator
art punk,rock music
art punk,punk music
exotica,easy listening
lecturer,orator
orator,speaker
engineer,enemy type
enemy type,video game character
enemy type,group of fictional characters
enemy type,class of fictional entities
Canadian French,French
engineer,national technical qualification
audio engineer,engineer
engineer,specialist degree
Canadian French,North American French
North American French,French
children's music,popular music
trailer music,epic music
epic music,cinematic classical
psychedelic soul,soul music
psychedelic soul,psychedelic music
Brit Award for British Female Solo Artist,award for best artist
specialist degree,higher education
MTV Movie Award for Best Performance,award for best performance
Broadcast Film Critics Association Award for Best Cast,award for a working group
award for a working group,class of award
song,poetry
song,vocal music
song,lyrico-musical work
lyrico-musical work,composed musical work
lyrico-musical work,literary work
bass clarinet,clarinet
bass clarinet,transposing instrument
Chalice,pipe
pipe,physical tool
pipe,smoking equipment
Angel,angel
angel,currency
Spin,aircraft
aircraft,vehicle
aircraft,flying machine
Grand Officer of the Order of Merit of the Italian Republic,grand officer
2 tone,ska
Spin,rotation
rotation,motion
estrada,performing arts
estrada,popular music
Latin Grammy Award for Best Traditional Tropical Album,award for best album (genre)
Buddhist,religious adherent
lyric baritone,baritone
Angel,monster
monster,imaginary character
Angel,angel in a work of fiction
angel in a work of fiction,fictional humanoid
angel in a work of fiction,supernatural being in a work of fiction
Honorary degree of the University of Macerata,honorary doctorate
play,drama
play,theatrical work
play,dramatic work
performing arts production,manifestation
performing arts production,work of art
performing arts production,event
Blackburn,torpedo bomber
torpedo bomber,attack aircraft
torpedo bomber,naval aircraft
tuba,saxhorn
saxhorn,valve horns with wider bore
Japanese ska,ska
Japanese ska,music of Japan
music of Japan,music of East Asia
Jun,protein-coding gene
mambo,music of Cuba
mambo,tropical music
New Age,religion
New Age,social movement
social movement,social process
social movement,group action
alpine skiing,skiing
skiing,winter sport
skiing,Olympic sport
skiing,recreational sport
alpine skiing,Olympic sport
Jun,former administrative territorial entity
former administrative territorial entity,administrative division
former administrative territorial entity,historical administrative division
former administrative territorial entity,historical geographic location
former administrative territorial entity,former geographical object
Space Mountain,enclosed roller coaster
enclosed roller coaster,roller coaster
Space Mountain,steel roller coaster
steel roller coaster,roller coaster
djent,math metal
math metal,progressive metal
Austrian Film Award,film award
mambo,dance
alpine skier,skier
skier,athlete
skier,winter sports practitioner
bassline,UK garage
UK garage,electronic dance music
bassline,bass music (EDM)
bassline,accompaniment
accompaniment,part
accompaniment,musical performance
theatre manager,director
theatre manager,theatre maker
theatre manager,"sports, recreation and cultural centre managers"
business executive,executive
business executive,company director
artistic director (music),artistic director
honorary doctor of the Royal College of Music,honorary doctorate
Gregorian chant,plainsong
plainsong,church music
plainsong,chant
plainsong,Christian song
Shikoku,dog
dog,pet
dog,domesticated mammal
laptop,personal computer
laptop,consumer electronics
consumer electronics,product
consumer electronics,electronic machine
laptop,portable computer
portable computer,computer
laptop,mobile computer
mobile computer,computer
mobile computer,portable computer
mobile computer,mobile device
coloratura soprano,soprano
coloratura soprano,female voice
electrical appliance,appliance
Regina,electric multiple unit
electric multiple unit,railway traction vehicle
electric multiple unit,multiple unit
electric multiple unit,electric vehicle
Chicano rap,gangsta rap
Chicano rap,Latin hip hop
Bad,protein-coding gene
Midwest hip hop,American hip hop
Granby,sans-serif
Beverly Hills,table apple
chief executive officer,chief officer
chief executive officer,leader of organization
Asia,cola
cola,caffeinated soft drink
cola,sugary drink
Grammy Award for Best Album for Children,award for best album
ballet dancer,dancer
new jack swing,contemporary R&B
beekeeper,farmer
Ali,Yakamul
Yakamul,Schouten
Juno Award for Alternative Album of the Year,award for best album (genre)
Ali,Gbaya
Gbaya,Ubangian
Gbaya,Gbaya-Manza-Ngbaka
Odeon,orchestra
Odeon,musical group
Ottoman classical music,music of Turkey
music of Turkey,music of the Middle East
Ottoman classical music,Middle Eastern classical music
Middle Eastern classical music,music of Asia
Middle Eastern classical music,art music
Grand Cross of the Order of Isabella the Catholic,grand cross
Turkish folk music,music of Turkey
Turkish folk music,West Asian folk music
West Asian folk music,music of the Middle East
West Asian folk music,Asian folk music
fado,Portuguese folk music
Portuguese folk music,music of Portugal
Portuguese folk music,European folk music
oud,necked bowl lutes sounded by plectrum
Grand Officer of the Order of Prince Henry,grand officer
Grand Cross of the Military Order of Saint James of the Sword,grand cross
Knight of the Military Order of Saint James of the Sword,knight
fine art,arts
Sephardic music,Jewish music
Jewish music,ethnic music
honorary doctor of Tel Aviv University,honorary doctorate
Anatolian rock,Turkish rock
Turkish rock,rock music
Turkish rock,music of Turkey
honorary doctorate of Salzburg University,honorary doctorate
honorary doctor of the Aristotle University of Thessaloniki,honorary doctorate
fado singer,singer
fado singer,fado musician
fado musician,musician
German Film Award,film award
Honorary member of the Athens Academy,honorary member
honorary member,award
honorary member,position
honorary member,member
protest song,topical song
topical song,song
Gypsy jazz,jazz
Kurdish,Northwestern Iranian
Northwestern Iranian,Western Iranian
figure skater,ice skater
ice skater,winter sports practitioner
Latin Grammy Award for Best Salsa Album,award for best album (genre)
Ontario,apple
John Collins,long drink
long drink,mixed drink
John Collins,Collins
Collins,cocktail
Commodore,airliner
Commodore,flying boat
flying boat,seaplane
Ginger,soft drink
Ontario,table apple
Ontario,cooking apple
Commodore,military officer
military officer,military personnel
military officer,soldier
military officer,officer
Commodore,commodore
commodore,military rank
commodore,soldier
Grammy Award for Best Salsa Album,award for best album (genre)
Latin Grammy Award for Best Rock Solo Vocal Album,award for best album (genre)
jazz singer,singer
jazz singer,jazz musician
Playboy Playmate,erotic photography model
erotic photography model,sex worker
erotic photography model,art model
effects unit,electronic musical instrument
effects unit,electronic means
electronic means,means
figure skating,Olympic sport
figure skating,ice skating
ice skating,Olympic sport
ice skating,skating
ice skating,ice sport
honorary doctor of the Hofstra University,honorary doctorate
honorary doctor of the Syracuse University,honorary doctorate
Saturn Award,award
Dobro,chordophone
chordophone,musical instrument
honorary doctor of the State University of New York at Stony Brook,honorary doctorate
Genesis,tournament
tournament,sports competition
piano accordion,accordion
Sharon,table apple
neotraditional country,contemporary country
contemporary country,country music
Eureka,homebuilt aircraft
homebuilt aircraft,civil aircraft
Eureka,ultralight aircraft
ultralight aircraft,aircraft
apostasy in Catholicism,apostasy
apostasy,renunciation
Monticello,serif typeface
Tomahawk,Curtiss P-40 Warhawk
Curtiss P-40 Warhawk,fighter monoplane with 1 engine
Curtiss P-40 Warhawk,land-based fighter monoplane
Celtic music,music of Europe
Bronze Star Medal,Awards and decorations of the United States military
Awards and decorations of the United States military,award
Norman,Oïl
denpa song,J-pop
J-pop,A-pop
denpa song,Akiba-pop
Akiba-pop,J-pop
Akiba-pop,Akiba-kei
Sound,appliance
appliance,physical tool
chiptune,video game music
chiptune,nerd music
chiptune,bit music
bit music,electronic music
happy hardcore,hardcore (electronic dance music)
Portal,portable computer
acid trance,trance
acid trance,acid music
Alta,Meso-Cordilleran
Meso-Cordilleran,Northern Luzon
Granada,Spanish wine
beatboxer,singer
glam punk,glam rock
glam punk,punk music
NAACP Image Awards,award
dramaturge,writer
Annie Award,film award
skiffle,contemporary folk music
mathcore,metalcore
rock guitarist,guitarist
rock guitarist,rock musician
Norwegian,goat
Americana Lifetime Achievement Award for Songwriting,music award
educator,educational personnel
educational personnel,worker
educator,teaching professionals
teaching professionals,intellectual and scientific professionals
Norwegian,North Germanic
Norwegian,West Scandinavian
Belarusian,East Slavic
humppa,schlager music
humppa,social dance
social dance,dance
Thunder,meteorological phenomenon
meteorological phenomenon,natural phenomenon
Thunder,unmanned aerial vehicle
unmanned aerial vehicle,aircraft
unmanned aerial vehicle,unmanned vehicle
phonograph,portable audio player
portable audio player,mobile device
portable audio player,portable media player
Emperor,grape
sleaze rock,rock music
interior designer,architect
interior designer,designer
blackened death metal,black metal
blackened death metal,death metal
King of Prussia,king
king,monarch
king,man
progressive death metal,death metal
progressive death metal,progressive metal
electro swing,electronic dance music
heavy metal guitarist,metal musician
heavy metal guitarist,rock guitarist
podcaster,creator
theremin,electronic musical instrument
theremin,analogue synthesizers and other electronic instruments with thermionic valve (vacuum-tube) based devices generating and/or processing electric sound signals
analogue synthesizers and other electronic instruments with thermionic valve (vacuum-tube) based devices generating and/or processing electric sound signals,analogue synthesizers and other electronic instruments with thermionic valve (vacuum-tube) or solid state circuitry (transistor and/or analogue integrated circuitry) generating and/or processing electric sound signals
theremin,continuous-pitch instrument
Belfast,airlifter
true metal,heavy metal
Celtic metal,folk metal
melodic metalcore,metalcore
The Game,mind game
mind game,game
mind game,intellectual competition
Geneva,sans-serif
British blues,electric blues
Americana Lifetime Achievement Award for Instrumentalist,music award
clarinetist,woodwind instrument player
Grammy Award for Best Jazz Instrumental Album,award for best album (genre)
soprano saxophone,saxophone
hammered dulcimer,dulcimer
hammered dulcimer,true board zithers with resonator box
hammered dulcimer,hammered chordophone
hammered chordophone,percussion instrument
hammered chordophone,string instrument
mainstream jazz,jazz
cornet,sweet bread
sweet bread,bread
sweet bread,bakers' confection
cornet,valve horns
basso profondo,bass
Apex,unmanned aerial vehicle
Apex,radio spectrum
radio spectrum,electromagnetic spectrum
Apex,broadcasting
broadcasting,mass media
broadcasting,radio communication service
broadcasting,information and communication industry
broadcasting,programming and broadcasting activities
broadcasting,public disclosing
jazz arranger,music arranger
oral communication,verbal communication
oral communication,interpersonal communication
cornet,soldier
horror punk,punk rock
Americana Music Association President's Award,music award
Europe,landmass
landmass,geographic region
landmass,physico-geographical object
turntablism,hip hop music
turntablism,experimental music
jungle,drum and bass
jungle,electronic dance music
electromechanical instruments,electrophone
Europe,yal
yal,sailboat
yal,monohull
Europe,centerboarder
centerboarder,boat
centerboarder,monohull
Swan,chair
chair,furniture
chair,seat
toasting,singer
toasting,musician
Grammy Award for Best Reggae Album,award for best album (genre)
toasting,melodeclamation
melodeclamation,musical work
Lo Nuestro Award for Pop Album of the Year,award for best album (genre)
Zen,Zen
Zen,Mahāyāna
jungle,ecosystem
jungle,geographic region
geographic region,geographical feature
geographic region,physical location
geographic region,region of space
Cheltenham,serif typeface
reality television participant,candidate
candidate,subject
candidate,participant
reality television participant,contestant
contestant,competitor
reality television participant,media professional
reality television participant,television personality
Gold Musgrave Medal,Musgrave Medal
Musgrave Medal,award
bullfighter,bullfighter
bullfighter,artist
bullfighter,athlete
Saint Andrew,mobile charge
mobile charge,charge
Latin ballad,Latin pop
Latin ballad,sentimental ballad
sentimental ballad,popular music
sentimental ballad,ballad
Kyoto Prize,science award
science award,academic award
Swan,aerial bomb
aerial bomb,bomb
reggae musician,musician
reggae singer,singer
reggae singer,reggae musician
Mahāyāna,Buddhism
performance art,performing arts
Knight of the National Order of Quebec,knight
Officer of the Order of the Crown,officer
performance art,art
art,recreation
performance art,time-based art
noise pop,indie rock
agnosticism,belief
belief,mental state
Goldene Kamera,television award
Goldene Kamera,film award
association football,association football
association football,sport industry
Italo disco,music of Italy
music of Italy,music of Southern Europe
Italo disco,electro-disco
electro-disco,disco
electro-disco,electronic dance music
honorary doctor of Brandeis University,honorary doctorate
association football player,competitive player
competitive player,person
competitive player,player
association football player,person associated with football
person associated with football,sportsperson
association football player,football player
football player,athlete
Royal Victorian Order,"orders, decorations, and medals of the United Kingdom"
sport industry,leisure industry
sport industry,entertainment industry
death rock,punk rock
death rock,gothic rock
water polo,athletics product
sea shanty,work song
work song,traditional folk music
work song,short song
sea shanty,sailor song
sailor song,song
sertanejo,music of Brazil
pagode,samba
Mateus,wine
wine,fermented alcoholic beverage
wine,alcoholic fruit beverage
Brazilian Music Awards 2015,music award
crust punk,hardcore punk
water polo,water sport
water polo,Olympic sport
water polo,team sport
team sport,sport
team sport,game-based sport
water polo,ball game
ball game,sport
ball game,game
ball game,athletics
Bulgarian,South Slavic
South Slavic,Slavic
Thai,Kra–Dai
Kra–Dai,Austro-Tai
Kra–Dai,Asian languages
Roland,wheeled armored personnel carrier
wheeled armored personnel carrier,armored personnel carrier
wheeled armored personnel carrier,wheeled vehicle
Bauhaus,Neues Bauen
Neues Bauen,modern architecture
Moloko,Afroasiatic
Afroasiatic,human language
Brill Building,pop music
Bauhaus,sans-serif
Bauhaus,geometric typeface
rhythm guitarist,guitarist
rhythm guitarist,group member
group member,musician
Roland,surface-to-air missile
surface-to-air missile,air defense
surface-to-air missile,missile
backing vocalist,vocalist
honorary degree of the University of Leeds,honorary doctorate
paganism,religion
Wicca,modern Paganism
modern Paganism,polytheism
modern Paganism,Pantheism
modern Paganism,idolatry
Ada,protein-coding gene
urban cowboy,country pop
harsh noise,noise music
sound artist,new media artist
new media artist,visual artist
klezmer,Jewish music
steel guitar,guitar
parody music,parody
parody,humor
parody music,comedy music
electroacoustic improvisation,free improvisation
free improvisation,experimental music
electroacoustic improvisation,electroacoustic music
electroacoustic music,electronic music
electroacoustic music,contemporary classical music
electroacoustic music,experimental music
Ada,food
food,disposable product
food,physical substance
multimedia artist,visual artist
Beaumont,pressed uncooked cheese
pressed uncooked cheese,pressed cheese
Beaumont,French cheese
French cheese,food
French cheese,cheese
Savannah,hybrid
hybrid,organism
hybrid,taxon
experimental techno,techno
experimental techno,experimental club music
experimental club music,electronic dance music
experimental club music,experimental electronic music
big band music,jazz
Nature,Q1969982
Q1969982,legal tender
mathematician,scientist
mangue bit,music of Brazil
Practice pad,musical instrument
Brazilian rock,rock music
Brazilian rock,music of Brazil
comedy hip hop,hip hop music
comedy hip hop,comedy music
jazz drummer,drummer
jazz drummer,jazz musician
Pocahontas,passenger train
passenger train,passenger train
Heligonka,diatonic button accordion
diatonic button accordion,accordion
Order of the British Empire,"orders, decorations, and medals of the United Kingdom"
Order of the British Empire,title of honor
title of honor,title
title of honor,award
title of honor,rank
Dorset,script typeface
script typeface,typeface
talent agent,broker
broker,businessperson
Tamil,Dravidian peoples
Dravidian peoples,South Asians
powerviolence,hardcore punk
Spellemann Award for male artist of the year,award for best artist
honorary degree,academic degree
academic degree,intangible asset
academic degree,academic achievement
academic degree,qualification
honorary degree,title of honor
dramatic coloratura soprano,coloratura soprano
pornographic actor,sex worker
sex worker,service industry worker
pornographic actor,film actor
Modena,domesticated pigeon
Modena,fancy pigeon
Modena,utility pigeon
comics artist,illustrator
comics artist,drawer
Houma,Muskogean
Muskogean,Indigenous languages of the Americas
Vijay Award for Best Music Director,award for best professional (...)
award for best professional (...),award
Vijay Award for Best Music Director,award for best music direction
award for best music direction,film award category
award for best music direction,award for best direction
AVN Award,pornographic film award
pornographic film award,film award
deathgrind,grindcore
deathgrind,death metal
Carnatic music,Indian classical music
Hindi,Hindustani
Hindustani,Western Hindi
Tamil,Tamil languages
Tamil languages,Tamil-Malayalam
Telugu,Dravidian
Dravidian,human language
Lithuanian,Eastern Baltic
Eastern Baltic,Baltic
contemporary worship music,contemporary worship
contemporary worship,Christian worship
contemporary worship music,church music
church music,liturgical music
church music,Christian music
Commander of the Order of Isabella the Catholic,commander
maestro,expert
expert,person
inventor,engineer
inventor,creator
Goya Award for Best Original Music,award for best original music
vocal coach,voice teacher
voice teacher,singer
voice teacher,music teacher
vocal coach,music teacher
music teacher,musician
music teacher,educator
music teacher,pedagogue
music teacher,music teacher
Finnish rock,rock music
Finnish rock,music of Finland
music of Finland,music of the Nordic countries
Aldershot,bomber biplane with 1 engine
bomber biplane with 1 engine,bomber biplane
bomber biplane with 1 engine,biplane with 1 engine
bomber biplane with 1 engine,bomber with 1 engine
charango,guitar
charango,musical instrument
charango,plucked string necked bowl lute
plucked string necked bowl lute,plucked string instrument
plucked string necked bowl lute,necked bowl lutes
masculine,inflected form
inflected form,linguistic form
Venezuelan cuatro,chordophone
ragga,reggae
ragga,dancehall
Italo dance,Eurodance
dentist,physician
physician,health professional
dentist,medical specialist
medical specialist,physician
dentist,stomatologist
stomatologist,medical specialist
dentist,other health professionals
other health professionals,health professional
Nigerian Pidgin,English-based creole languages
English-based creole languages,creole language
neoclassical music,modern classical music
Stone,musical instrument
astrologer,mystic
mystic,religious servant
astrologer,occultist
Gnas,protein-coding gene
accordionist,keyboardist
accordionist,instrumentalist
cinematographer,artist
cinematographer,camera operator
camera operator,operator
camera operator,cinematic technician
cinematographer,filmmaker
mod revival,punk music
mod revival,mod
mod,rock music
twee pop,indie rock
twee pop,pop rock
twee pop,indie pop
Storm,soft drink
highlife,music of West Africa
moombahton,electronic dance music
Yoruba,Kwa
Kwa,Volta–Congo
Yoruba,Yoruboid
Yoruboid,Defoid
Zoroastrianism,dualistic cosmology
dualistic cosmology,religious cosmology
performance,effectiveness
effectiveness,quality
Junge,knife
knife,physical tool
knife,stabbing weapon
knife,bladed object
liquid funk,drum and bass
German punk,punk rock
German punk,music of Germany
music of Germany,music of Western Europe
artivism,activism
activism,social engagement
artivism,protest art
protest art,protest
protest art,creative work
depressive black metal,black metal
psychedelic funk,funk
psychedelic funk,psychedelic music
executive,professional
company director,director
Campino,herder
herder,farmer
herder,peasant
GMA Dove Award for Song of the Year,award for best song
jarana huasteca,chordophone
BET Award for Best Gospel Artist,award for best artist
Beverly,soft drink
Beverly,mango
Grammy Award for Best Gospel Album,award for best album (genre)
Grammy Award for Best Rock Gospel Album,award for best album (genre)
regional Mexican,music of Mexico
music of Mexico,music of Latin America
performance,measure
measure,quality
crossover jazz,jazz
performance,event
performance,activity
performance,artificial object
Old Norse,North Germanic
Grammy Award for Best Jazz Fusion Performance,award for best performance
scuba diver,diver
diver,swimmer
Anderson,mango
keyboard bass,electronic keyboard
Friday,day
day,time interval
Friday,non-holiday
non-holiday,day of the week
Friday,holiday
holiday,event
holiday,non-working day
holiday,point in time with respect to recurrent timeframe
holiday,recurring event
Doda,horse rider
horse rider,rider
taekwondo athlete,athlete
Esperanto music,music
garmon,squeezebox
garmon,button accordion
button accordion,accordion
button accordion,squeezebox
snowboarder,winter sports practitioner
winter sports practitioner,athlete
snowboarding,winter sport
winter sport,sport
winter sport,ice and snow activities
snowboarding,Olympic sport
snowboarding,boardsport
